model,round,symbol,Rank1,Rank2,Rank3,Rank4,Rank5,RPS
Chronos-2 120M (spatiotemporal Gaussian copula),5,PRU,0.173,0.156,0.192,0.183,0.296,0.15944540000000001
Chronos-2 120M (spatiotemporal Gaussian copula),5,PYPL,0.441,0.108,0.099,0.102,0.25,0.2956572
Chronos-2 120M (spatiotemporal Gaussian copula),5,RE,0.176,0.217,0.184,0.209,0.214,0.25443000000000005
Chronos-2 120M (spatiotemporal Gaussian copula),5,REET,0.066,0.251,0.311,0.292,0.08,0.049925800000000006
Chronos-2 120M (spatiotemporal Gaussian copula),5,ROL,0.218,0.176,0.166,0.197,0.243,0.11508179999999998
Chronos-2 120M (spatiotemporal Gaussian copula),5,ROST,0.28,0.133,0.121,0.149,0.317,0.20012280000000002
Chronos-2 120M (spatiotemporal Gaussian copula),5,SEGA.L,0.303,0.236,0.188,0.17,0.103,0.18429359999999995
Chronos-2 120M (spatiotemporal Gaussian copula),5,SHY,0.201,0.275,0.232,0.203,0.089,0.0720324
Chronos-2 120M (spatiotemporal Gaussian copula),5,SLV,0.314,0.161,0.144,0.17,0.211,0.18718059999999997
Chronos-2 120M (spatiotemporal Gaussian copula),5,SPMV.L,0.114,0.206,0.254,0.274,0.152,0.09359520000000002
Chronos-2 120M (spatiotemporal Gaussian copula),5,TLT,0.389,0.188,0.12,0.144,0.159,0.335468
Chronos-2 120M (spatiotemporal Gaussian copula),5,UNH,0.142,0.192,0.188,0.225,0.253,0.1924426
Chronos-2 120M (spatiotemporal Gaussian copula),5,URI,0.248,0.142,0.121,0.14,0.349,0.1797052
Chronos-2 120M (spatiotemporal Gaussian copula),5,V,0.225,0.181,0.177,0.189,0.228,0.23026680000000002
Chronos-2 120M (spatiotemporal Gaussian copula),5,VRSK,0.235,0.195,0.19,0.194,0.186,0.2574242
Chronos-2 120M (spatiotemporal Gaussian copula),5,VXX,0.584,0.054,0.049,0.055,0.258,0.0937266
Chronos-2 120M (spatiotemporal Gaussian copula),5,WRK,0.263,0.13,0.137,0.14,0.33,0.1106836
Chronos-2 120M (spatiotemporal Gaussian copula),5,XLB,0.038,0.177,0.304,0.345,0.136,0.17350519999999997
Chronos-2 120M (spatiotemporal Gaussian copula),5,XLC,0.219,0.273,0.234,0.174,0.1,0.0782202
Chronos-2 120M (spatiotemporal Gaussian copula),5,XLE,0.228,0.125,0.114,0.147,0.386,0.18073560000000002
Chronos-2 120M (spatiotemporal Gaussian copula),5,XLF,0.074,0.252,0.304,0.259,0.111,0.052194599999999994
Chronos-2 120M (spatiotemporal Gaussian copula),5,XLI,0.013,0.195,0.38,0.362,0.05,0.07833540000000003
Chronos-2 120M (spatiotemporal Gaussian copula),5,XLK,0.202,0.24,0.196,0.201,0.161,0.1338266
Chronos-2 120M (spatiotemporal Gaussian copula),5,XLP,0.083,0.229,0.292,0.27,0.126,0.055385000000000004
Chronos-2 120M (spatiotemporal Gaussian copula),5,XLU,0.106,0.238,0.216,0.256,0.184,0.0714056
Chronos-2 120M (spatiotemporal Gaussian copula),5,XLV,0.08,0.264,0.279,0.277,0.1,0.055373000000000006
Chronos-2 120M (spatiotemporal Gaussian copula),5,XLY,0.24,0.196,0.177,0.189,0.198,0.2533338
Chronos-2 120M (spatiotemporal Gaussian copula),5,XOM,0.229,0.136,0.109,0.151,0.375,0.1205934
Chronos-2 120M (spatiotemporal Gaussian copula),6,ABBV,0.157,0.196,0.196,0.207,0.244,0.278439
Chronos-2 120M (spatiotemporal Gaussian copula),6,ACN,0.144,0.183,0.188,0.244,0.241,0.09019419999999997
Chronos-2 120M (spatiotemporal Gaussian copula),6,AEP,0.223,0.201,0.175,0.188,0.213,0.24153499999999997
Chronos-2 120M (spatiotemporal Gaussian copula),6,AIZ,0.227,0.218,0.207,0.204,0.144,0.10027879999999997
Chronos-2 120M (spatiotemporal Gaussian copula),6,ALLE,0.256,0.213,0.175,0.194,0.162,0.10009540000000001
Chronos-2 120M (spatiotemporal Gaussian copula),6,AMAT,0.285,0.106,0.095,0.115,0.399,0.1751006
Chronos-2 120M (spatiotemporal Gaussian copula),6,AMP,0.172,0.175,0.166,0.226,0.261,0.1918566
Chronos-2 120M (spatiotemporal Gaussian copula),6,AMZN,0.353,0.115,0.1,0.118,0.314,0.22737059999999998
Chronos-2 120M (spatiotemporal Gaussian copula),6,AVB,0.212,0.209,0.184,0.211,0.184,0.12441319999999997
Chronos-2 120M (spatiotemporal Gaussian copula),6,AVY,0.178,0.165,0.17,0.18,0.307,0.17855020000000002
Chronos-2 120M (spatiotemporal Gaussian copula),6,AXP,0.209,0.146,0.138,0.193,0.314,0.1050702
Chronos-2 120M (spatiotemporal Gaussian copula),6,BDX,0.298,0.181,0.169,0.169,0.183,0.15432759999999998
Chronos-2 120M (spatiotemporal Gaussian copula),6,BF-B,0.194,0.218,0.197,0.214,0.177,0.12191800000000001
Chronos-2 120M (spatiotemporal Gaussian copula),6,BMY,0.215,0.24,0.2,0.18,0.165,0.0799
Chronos-2 120M (spatiotemporal Gaussian copula),6,BR,0.151,0.199,0.19,0.228,0.232,0.20534499999999997
Chronos-2 120M (spatiotemporal Gaussian copula),6,CARR,0.172,0.169,0.13,0.188,0.341,0.1603974
Chronos-2 120M (spatiotemporal Gaussian copula),6,CDW,0.203,0.197,0.166,0.214,0.22,0.22599300000000003
Chronos-2 120M (spatiotemporal Gaussian copula),6,CE,0.212,0.179,0.148,0.195,0.266,0.13982039999999998
Chronos-2 120M (spatiotemporal Gaussian copula),6,CHTR,0.343,0.144,0.15,0.132,0.231,0.17598960000000002
Chronos-2 120M (spatiotemporal Gaussian copula),6,CNC,0.298,0.143,0.139,0.153,0.267,0.1381948
Chronos-2 120M (spatiotemporal Gaussian copula),6,CNP,0.146,0.174,0.229,0.212,0.239,0.20084759999999996
Chronos-2 120M (spatiotemporal Gaussian copula),6,COP,0.221,0.112,0.1,0.106,0.461,0.12754800000000002
Chronos-2 120M (spatiotemporal Gaussian copula),6,CTAS,0.156,0.2,0.192,0.249,0.203,0.21731700000000004
Chronos-2 120M (spatiotemporal Gaussian copula),6,CZR,0.405,0.071,0.065,0.088,0.371,0.16418460000000004
Chronos-2 120M (spatiotemporal Gaussian copula),6,DG,0.237,0.178,0.143,0.186,0.256,0.1318588
Chronos-2 120M (spatiotemporal Gaussian copula),6,DPZ,0.301,0.163,0.135,0.15,0.251,0.12033980000000002
Chronos-2 120M (spatiotemporal Gaussian copula),6,DRE,0.143,0.175,0.166,0.209,0.307,0.0964156
Chronos-2 120M (spatiotemporal Gaussian copula),6,DXC,0.305,0.135,0.122,0.117,0.321,0.218302
Chronos-2 120M (spatiotemporal Gaussian copula),6,EWA,0.104,0.26,0.287,0.263,0.086,0.0545018
Chronos-2 120M (spatiotemporal Gaussian copula),6,EWC,0.099,0.284,0.3,0.257,0.06,0.05211579999999999
Chronos-2 120M (spatiotemporal Gaussian copula),6,EWG,0.183,0.254,0.227,0.223,0.113,0.22202459999999996
Chronos-2 120M (spatiotemporal Gaussian copula),6,EWH,0.179,0.261,0.226,0.208,0.126,0.2230146
Chronos-2 120M (spatiotemporal Gaussian copula),6,EWJ,0.097,0.271,0.324,0.241,0.067,0.10163720000000001
Chronos-2 120M (spatiotemporal Gaussian copula),6,EWL,0.084,0.298,0.314,0.247,0.057,0.09692900000000002
Chronos-2 120M (spatiotemporal Gaussian copula),6,EWQ,0.092,0.245,0.297,0.265,0.101,0.05323800000000001
Chronos-2 120M (spatiotemporal Gaussian copula),6,EWT,0.122,0.221,0.247,0.27,0.14,0.1268466
Chronos-2 120M (spatiotemporal Gaussian copula),6,EWU,0.08,0.26,0.34,0.238,0.082,0.046224799999999996
Chronos-2 120M (spatiotemporal Gaussian copula),6,EWY,0.209,0.226,0.227,0.206,0.132,0.0989148
Chronos-2 120M (spatiotemporal Gaussian copula),6,EWZ,0.338,0.173,0.126,0.16,0.203,0.2832686
Chronos-2 120M (spatiotemporal Gaussian copula),6,FTV,0.133,0.22,0.227,0.23,0.19,0.22695959999999998
Chronos-2 120M (spatiotemporal Gaussian copula),6,GOOG,0.29,0.166,0.137,0.153,0.254,0.1416402
Chronos-2 120M (spatiotemporal Gaussian copula),6,GPC,0.108,0.151,0.2,0.26,0.281,0.16127740000000004
Chronos-2 120M (spatiotemporal Gaussian copula),6,GSG,0.261,0.108,0.113,0.152,0.366,0.1737124
Chronos-2 120M (spatiotemporal Gaussian copula),6,HIG,0.208,0.206,0.192,0.212,0.182,0.123004
Chronos-2 120M (spatiotemporal Gaussian copula),6,HIGH.L,0.106,0.284,0.302,0.234,0.074,0.25433520000000004
Chronos-2 120M (spatiotemporal Gaussian copula),6,HST,0.311,0.122,0.117,0.147,0.303,0.21450380000000005
Chronos-2 120M (spatiotemporal Gaussian copula),6,HYG,0.063,0.348,0.337,0.219,0.033,0.2578966
Chronos-2 120M (spatiotemporal Gaussian copula),6,IAU,0.292,0.199,0.17,0.168,0.171,0.0977014
Chronos-2 120M (spatiotemporal Gaussian copula),6,ICLN,0.272,0.137,0.136,0.143,0.312,0.20232680000000003
Chronos-2 120M (spatiotemporal Gaussian copula),6,IEAA.L,0.193,0.267,0.237,0.192,0.111,0.20939579999999997
Chronos-2 120M (spatiotemporal Gaussian copula),6,IEF,0.275,0.23,0.184,0.18,0.131,0.1769064
Chronos-2 120M (spatiotemporal Gaussian copula),6,IEFM.L,0.148,0.238,0.239,0.234,0.141,0.11188120000000001
Chronos-2 120M (spatiotemporal Gaussian copula),6,IEMG,0.16,0.283,0.257,0.219,0.081,0.08648200000000002
Chronos-2 120M (spatiotemporal Gaussian copula),6,IEUS,0.127,0.263,0.289,0.245,0.076,0.24860919999999997
Chronos-2 120M (spatiotemporal Gaussian copula),6,IEVL.L,0.103,0.196,0.237,0.26,0.204,0.15178439999999999
Chronos-2 120M (spatiotemporal Gaussian copula),6,IGF,0.028,0.274,0.43,0.233,0.035,0.033007400000000006
Chronos-2 120M (spatiotemporal Gaussian copula),6,INDA,0.075,0.2,0.282,0.268,0.175,0.061624800000000014
Chronos-2 120M (spatiotemporal Gaussian copula),6,IUMO.L,0.197,0.227,0.217,0.197,0.162,0.074742
Chronos-2 120M (spatiotemporal Gaussian copula),6,IUVL.L,0.135,0.213,0.203,0.236,0.213,0.07725980000000002
Chronos-2 120M (spatiotemporal Gaussian copula),6,IVV,0.033,0.256,0.338,0.339,0.034,0.095779
Chronos-2 120M (spatiotemporal Gaussian copula),6,IWM,0.127,0.257,0.229,0.255,0.132,0.1113556
Chronos-2 120M (spatiotemporal Gaussian copula),6,IXN,0.172,0.197,0.204,0.223,0.204,0.10713799999999998
Chronos-2 120M (spatiotemporal Gaussian copula),6,JPEA.L,0.206,0.309,0.233,0.191,0.061,0.06897719999999999
Chronos-2 120M (spatiotemporal Gaussian copula),6,JPM,0.159,0.204,0.191,0.216,0.23,0.08177319999999999
Chronos-2 120M (spatiotemporal Gaussian copula),6,KR,0.286,0.128,0.137,0.131,0.318,0.13158339999999996
Chronos-2 120M (spatiotemporal Gaussian copula),6,LQD,0.242,0.267,0.217,0.174,0.1,0.1801442
Chronos-2 120M (spatiotemporal Gaussian copula),6,MCHI,0.332,0.155,0.106,0.147,0.26,0.18852839999999998
Chronos-2 120M (spatiotemporal Gaussian copula),6,META,0.374,0.116,0.089,0.097,0.324,0.18683860000000002
Chronos-2 120M (spatiotemporal Gaussian copula),6,MVEU.L,0.078,0.238,0.268,0.267,0.149,0.1338394
Chronos-2 120M (spatiotemporal Gaussian copula),6,OGN,0.314,0.156,0.14,0.138,0.252,0.19341999999999998
Chronos-2 120M (spatiotemporal Gaussian copula),6,PG,0.153,0.174,0.213,0.22,0.24,0.07990760000000001
Chronos-2 120M (spatiotemporal Gaussian copula),6,PPL,0.198,0.22,0.221,0.228,0.133,0.27478759999999997
Chronos-2 120M (spatiotemporal Gaussian copula),6,PRU,0.177,0.177,0.207,0.185,0.254,0.10717639999999998
Chronos-2 120M (spatiotemporal Gaussian copula),6,PYPL,0.425,0.094,0.092,0.103,0.286,0.2666206
Chronos-2 120M (spatiotemporal Gaussian copula),6,RE,0.219,0.24,0.174,0.194,0.173,0.084652
Chronos-2 120M (spatiotemporal Gaussian copula),6,REET,0.068,0.301,0.331,0.243,0.057,0.0468068
Chronos-2 120M (spatiotemporal Gaussian copula),6,ROL,0.216,0.165,0.177,0.184,0.258,0.25194900000000003
Chronos-2 120M (spatiotemporal Gaussian copula),6,ROST,0.316,0.141,0.135,0.142,0.266,0.14598499999999998
Chronos-2 120M (spatiotemporal Gaussian copula),6,SEGA.L,0.292,0.227,0.188,0.159,0.134,0.16728599999999996
Chronos-2 120M (spatiotemporal Gaussian copula),6,SHY,0.189,0.275,0.231,0.201,0.104,0.20977159999999997
Chronos-2 120M (spatiotemporal Gaussian copula),6,SLV,0.378,0.165,0.151,0.14,0.166,0.09458499999999997
Chronos-2 120M (spatiotemporal Gaussian copula),6,SPMV.L,0.11,0.224,0.249,0.282,0.135,0.06315400000000002
Chronos-2 120M (spatiotemporal Gaussian copula),6,TLT,0.353,0.184,0.135,0.13,0.198,0.15595320000000001
Chronos-2 120M (spatiotemporal Gaussian copula),6,UNH,0.165,0.161,0.185,0.221,0.268,0.0888892
Chronos-2 120M (spatiotemporal Gaussian copula),6,URI,0.24,0.126,0.121,0.141,0.372,0.1646218
Chronos-2 120M (spatiotemporal Gaussian copula),6,V,0.161,0.181,0.176,0.229,0.253,0.2866436
Chronos-2 120M (spatiotemporal Gaussian copula),6,VRSK,0.207,0.205,0.192,0.205,0.191,0.12277799999999998
Chronos-2 120M (spatiotemporal Gaussian copula),6,VXX,0.648,0.059,0.049,0.059,0.185,0.060702799999999967
Chronos-2 120M (spatiotemporal Gaussian copula),6,WRK,0.247,0.153,0.127,0.164,0.309,0.14804379999999998
Chronos-2 120M (spatiotemporal Gaussian copula),6,XLB,0.06,0.256,0.31,0.304,0.07,0.0496464
Chronos-2 120M (spatiotemporal Gaussian copula),6,XLC,0.213,0.23,0.186,0.209,0.162,0.0811006
Chronos-2 120M (spatiotemporal Gaussian copula),6,XLE,0.206,0.128,0.118,0.151,0.397,0.14438099999999998
Chronos-2 120M (spatiotemporal Gaussian copula),6,XLF,0.056,0.221,0.321,0.279,0.123,0.0905196
Chronos-2 120M (spatiotemporal Gaussian copula),6,XLI,0.033,0.276,0.414,0.25,0.027,0.12400560000000002
Chronos-2 120M (spatiotemporal Gaussian copula),6,XLK,0.151,0.202,0.205,0.234,0.208,0.1004076
Chronos-2 120M (spatiotemporal Gaussian copula),6,XLP,0.061,0.222,0.313,0.285,0.119,0.05223739999999999
Chronos-2 120M (spatiotemporal Gaussian copula),6,XLU,0.157,0.254,0.205,0.227,0.157,0.25673500000000005
Chronos-2 120M (spatiotemporal Gaussian copula),6,XLV,0.086,0.264,0.27,0.279,0.101,0.11689940000000001
Chronos-2 120M (spatiotemporal Gaussian copula),6,XLY,0.231,0.183,0.182,0.192,0.212,0.12498340000000001
Chronos-2 120M (spatiotemporal Gaussian copula),6,XOM,0.173,0.119,0.114,0.152,0.442,0.09507860000000001
Chronos-2 120M (spatiotemporal Gaussian copula),7,ABBV,0.205,0.218,0.169,0.182,0.226,0.23409880000000002
Chronos-2 120M (spatiotemporal Gaussian copula),7,ACN,0.122,0.171,0.199,0.255,0.253,0.3185612
Chronos-2 120M (spatiotemporal Gaussian copula),7,AEP,0.161,0.184,0.172,0.221,0.262,0.09617579999999999
Chronos-2 120M (spatiotemporal Gaussian copula),7,AIZ,0.166,0.171,0.186,0.225,0.252,0.28523160000000003
Chronos-2 120M (spatiotemporal Gaussian copula),7,ALLE,0.247,0.204,0.163,0.202,0.184,0.21025239999999998
Chronos-2 120M (spatiotemporal Gaussian copula),7,AMAT,0.314,0.108,0.1,0.109,0.369,0.233865
Chronos-2 120M (spatiotemporal Gaussian copula),7,AMP,0.114,0.168,0.165,0.217,0.336,0.081045
Chronos-2 120M (spatiotemporal Gaussian copula),7,AMZN,0.297,0.118,0.105,0.129,0.351,0.238007
Chronos-2 120M (spatiotemporal Gaussian copula),7,AVB,0.223,0.215,0.173,0.205,0.184,0.08535
Chronos-2 120M (spatiotemporal Gaussian copula),7,AVY,0.138,0.172,0.173,0.198,0.319,0.3176388
Chronos-2 120M (spatiotemporal Gaussian copula),7,AXP,0.258,0.17,0.151,0.194,0.227,0.09570359999999997
Chronos-2 120M (spatiotemporal Gaussian copula),7,BDX,0.23,0.181,0.161,0.194,0.234,0.12075220000000002
Chronos-2 120M (spatiotemporal Gaussian copula),7,BF-B,0.153,0.2,0.2,0.228,0.219,0.13795760000000004
Chronos-2 120M (spatiotemporal Gaussian copula),7,BMY,0.22,0.222,0.177,0.181,0.2,0.085785
Chronos-2 120M (spatiotemporal Gaussian copula),7,BR,0.112,0.15,0.182,0.252,0.304,0.09654800000000004
Chronos-2 120M (spatiotemporal Gaussian copula),7,CARR,0.201,0.168,0.141,0.174,0.316,0.1557036
Chronos-2 120M (spatiotemporal Gaussian copula),7,CDW,0.113,0.165,0.148,0.217,0.357,0.19819559999999997
Chronos-2 120M (spatiotemporal Gaussian copula),7,CE,0.289,0.183,0.159,0.175,0.194,0.19162040000000002
Chronos-2 120M (spatiotemporal Gaussian copula),7,CHTR,0.398,0.139,0.13,0.105,0.228,0.1479292
Chronos-2 120M (spatiotemporal Gaussian copula),7,CNC,0.249,0.145,0.119,0.178,0.309,0.2527774
Chronos-2 120M (spatiotemporal Gaussian copula),7,CNP,0.121,0.164,0.205,0.224,0.286,0.16915239999999998
Chronos-2 120M (spatiotemporal Gaussian copula),7,COP,0.268,0.105,0.089,0.106,0.432,0.1494042
Chronos-2 120M (spatiotemporal Gaussian copula),7,CTAS,0.12,0.177,0.199,0.262,0.242,0.16423780000000002
Chronos-2 120M (spatiotemporal Gaussian copula),7,CZR,0.422,0.072,0.074,0.088,0.344,0.17261600000000002
Chronos-2 120M (spatiotemporal Gaussian copula),7,DG,0.201,0.169,0.158,0.207,0.265,0.10526200000000001
Chronos-2 120M (spatiotemporal Gaussian copula),7,DPZ,0.322,0.156,0.138,0.143,0.241,0.187541
Chronos-2 120M (spatiotemporal Gaussian copula),7,DRE,0.111,0.146,0.165,0.208,0.37,0.3626708
Chronos-2 120M (spatiotemporal Gaussian copula),7,DXC,0.426,0.126,0.097,0.111,0.24,0.29699620000000004
Chronos-2 120M (spatiotemporal Gaussian copula),7,EWA,0.113,0.298,0.313,0.223,0.053,0.052135
Chronos-2 120M (spatiotemporal Gaussian copula),7,EWC,0.054,0.289,0.339,0.265,0.053,0.044899600000000005
Chronos-2 120M (spatiotemporal Gaussian copula),7,EWG,0.272,0.323,0.209,0.154,0.042,0.0936378
Chronos-2 120M (spatiotemporal Gaussian copula),7,EWH,0.225,0.289,0.218,0.18,0.088,0.1716778
Chronos-2 120M (spatiotemporal Gaussian copula),7,EWJ,0.143,0.347,0.32,0.161,0.029,0.06349799999999999
Chronos-2 120M (spatiotemporal Gaussian copula),7,EWL,0.089,0.304,0.344,0.218,0.045,0.046712800000000006
Chronos-2 120M (spatiotemporal Gaussian copula),7,EWQ,0.091,0.27,0.313,0.248,0.078,0.05019240000000001
Chronos-2 120M (spatiotemporal Gaussian copula),7,EWT,0.175,0.256,0.242,0.229,0.098,0.09418379999999998
Chronos-2 120M (spatiotemporal Gaussian copula),7,EWU,0.076,0.272,0.353,0.23,0.069,0.10500839999999996
Chronos-2 120M (spatiotemporal Gaussian copula),7,EWY,0.249,0.274,0.219,0.183,0.075,0.07234379999999999
Chronos-2 120M (spatiotemporal Gaussian copula),7,EWZ,0.283,0.165,0.137,0.153,0.262,0.13833239999999997
Chronos-2 120M (spatiotemporal Gaussian copula),7,FTV,0.108,0.197,0.246,0.244,0.205,0.06966300000000002
Chronos-2 120M (spatiotemporal Gaussian copula),7,GOOG,0.207,0.155,0.162,0.179,0.297,0.27013560000000003
Chronos-2 120M (spatiotemporal Gaussian copula),7,GPC,0.082,0.12,0.189,0.26,0.349,0.12484200000000001
Chronos-2 120M (spatiotemporal Gaussian copula),7,GSG,0.244,0.13,0.132,0.171,0.323,0.1119554
Chronos-2 120M (spatiotemporal Gaussian copula),7,HIG,0.193,0.195,0.197,0.198,0.217,0.11542140000000001
Chronos-2 120M (spatiotemporal Gaussian copula),7,HIGH.L,0.153,0.345,0.282,0.176,0.044,0.3587498
Chronos-2 120M (spatiotemporal Gaussian copula),7,HST,0.298,0.13,0.103,0.155,0.314,0.11810899999999998
Chronos-2 120M (spatiotemporal Gaussian copula),7,HYG,0.057,0.355,0.349,0.206,0.033,0.15064059999999996
Chronos-2 120M (spatiotemporal Gaussian copula),7,IAU,0.314,0.205,0.161,0.164,0.156,0.17093860000000002
Chronos-2 120M (spatiotemporal Gaussian copula),7,ICLN,0.335,0.157,0.13,0.159,0.219,0.2702268
Chronos-2 120M (spatiotemporal Gaussian copula),7,IEAA.L,0.219,0.286,0.237,0.179,0.079,0.17195819999999998
Chronos-2 120M (spatiotemporal Gaussian copula),7,IEF,0.273,0.245,0.183,0.175,0.124,0.169926
Chronos-2 120M (spatiotemporal Gaussian copula),7,IEFM.L,0.158,0.256,0.24,0.211,0.135,0.27446020000000004
Chronos-2 120M (spatiotemporal Gaussian copula),7,IEMG,0.15,0.315,0.262,0.209,0.064,0.06347
Chronos-2 120M (spatiotemporal Gaussian copula),7,IEUS,0.176,0.317,0.267,0.195,0.045,0.06953000000000001
Chronos-2 120M (spatiotemporal Gaussian copula),7,IEVL.L,0.105,0.221,0.266,0.242,0.166,0.09906420000000002
Chronos-2 120M (spatiotemporal Gaussian copula),7,IGF,0.016,0.231,0.411,0.292,0.05,0.03614580000000001
Chronos-2 120M (spatiotemporal Gaussian copula),7,INDA,0.114,0.272,0.272,0.244,0.098,0.281712
Chronos-2 120M (spatiotemporal Gaussian copula),7,IUMO.L,0.166,0.237,0.22,0.218,0.159,0.071475
Chronos-2 120M (spatiotemporal Gaussian copula),7,IUVL.L,0.138,0.231,0.208,0.247,0.176,0.125422
Chronos-2 120M (spatiotemporal Gaussian copula),7,IVV,0.011,0.175,0.341,0.42,0.053,0.177851
Chronos-2 120M (spatiotemporal Gaussian copula),7,IWM,0.122,0.264,0.242,0.254,0.118,0.10883760000000002
Chronos-2 120M (spatiotemporal Gaussian copula),7,IXN,0.151,0.201,0.209,0.233,0.206,0.27517240000000004
Chronos-2 120M (spatiotemporal Gaussian copula),7,JPEA.L,0.225,0.288,0.247,0.169,0.071,0.350887
Chronos-2 120M (spatiotemporal Gaussian copula),7,JPM,0.279,0.217,0.182,0.187,0.135,0.3063532
Chronos-2 120M (spatiotemporal Gaussian copula),7,KR,0.299,0.119,0.135,0.115,0.332,0.1360316
Chronos-2 120M (spatiotemporal Gaussian copula),7,LQD,0.227,0.268,0.234,0.189,0.082,0.1669438
Chronos-2 120M (spatiotemporal Gaussian copula),7,MCHI,0.436,0.162,0.129,0.12,0.153,0.21992759999999997
Chronos-2 120M (spatiotemporal Gaussian copula),7,META,0.365,0.104,0.098,0.097,0.336,0.19711420000000004
Chronos-2 120M (spatiotemporal Gaussian copula),7,MVEU.L,0.09,0.248,0.279,0.25,0.133,0.1221444
Chronos-2 120M (spatiotemporal Gaussian copula),7,OGN,0.323,0.167,0.144,0.135,0.231,0.10634919999999999
Chronos-2 120M (spatiotemporal Gaussian copula),7,PG,0.171,0.182,0.212,0.214,0.221,0.1371832
Chronos-2 120M (spatiotemporal Gaussian copula),7,PPL,0.14,0.16,0.216,0.251,0.233,0.079629
Chronos-2 120M (spatiotemporal Gaussian copula),7,PRU,0.184,0.169,0.2,0.193,0.254,0.26975800000000005
Chronos-2 120M (spatiotemporal Gaussian copula),7,PYPL,0.454,0.112,0.078,0.095,0.261,0.2974658
Chronos-2 120M (spatiotemporal Gaussian copula),7,RE,0.203,0.19,0.177,0.179,0.251,0.21631180000000008
Chronos-2 120M (spatiotemporal Gaussian copula),7,REET,0.044,0.248,0.343,0.291,0.074,0.1283802
Chronos-2 120M (spatiotemporal Gaussian copula),7,ROL,0.273,0.171,0.161,0.173,0.222,0.24859480000000006
Chronos-2 120M (spatiotemporal Gaussian copula),7,ROST,0.258,0.124,0.116,0.148,0.354,0.1755616
Chronos-2 120M (spatiotemporal Gaussian copula),7,SEGA.L,0.305,0.227,0.186,0.177,0.105,0.33851960000000003
Chronos-2 120M (spatiotemporal Gaussian copula),7,SHY,0.192,0.286,0.237,0.199,0.086,0.32239379999999995
Chronos-2 120M (spatiotemporal Gaussian copula),7,SLV,0.427,0.166,0.13,0.117,0.16,0.3524614
Chronos-2 120M (spatiotemporal Gaussian copula),7,SPMV.L,0.067,0.205,0.248,0.317,0.163,0.1582884
Chronos-2 120M (spatiotemporal Gaussian copula),7,TLT,0.388,0.183,0.113,0.147,0.169,0.12100040000000001
Chronos-2 120M (spatiotemporal Gaussian copula),7,UNH,0.136,0.146,0.18,0.244,0.294,0.07958000000000001
Chronos-2 120M (spatiotemporal Gaussian copula),7,URI,0.272,0.128,0.112,0.151,0.337,0.24833940000000002
Chronos-2 120M (spatiotemporal Gaussian copula),7,V,0.196,0.201,0.199,0.198,0.206,0.12153539999999999
Chronos-2 120M (spatiotemporal Gaussian copula),7,VRSK,0.155,0.178,0.192,0.217,0.258,0.15222060000000004
Chronos-2 120M (spatiotemporal Gaussian copula),7,VXX,0.632,0.054,0.047,0.062,0.205,0.19666679999999997
Chronos-2 120M (spatiotemporal Gaussian copula),7,WRK,0.237,0.16,0.138,0.171,0.294,0.24968779999999996
Chronos-2 120M (spatiotemporal Gaussian copula),7,XLB,0.047,0.244,0.333,0.312,0.064,0.13007240000000003
Chronos-2 120M (spatiotemporal Gaussian copula),7,XLC,0.193,0.245,0.213,0.219,0.13,0.2211588
Chronos-2 120M (spatiotemporal Gaussian copula),7,XLE,0.244,0.119,0.12,0.144,0.373,0.16354459999999998
Chronos-2 120M (spatiotemporal Gaussian copula),7,XLF,0.083,0.25,0.318,0.251,0.098,0.049836599999999995
Chronos-2 120M (spatiotemporal Gaussian copula),7,XLI,0.01,0.226,0.399,0.32,0.045,0.3398092
Chronos-2 120M (spatiotemporal Gaussian copula),7,XLK,0.121,0.187,0.217,0.255,0.22,0.305106
Chronos-2 120M (spatiotemporal Gaussian copula),7,XLP,0.046,0.205,0.279,0.323,0.147,0.1611252
Chronos-2 120M (spatiotemporal Gaussian copula),7,XLU,0.089,0.21,0.209,0.236,0.256,0.08418439999999999
Chronos-2 120M (spatiotemporal Gaussian copula),7,XLV,0.051,0.242,0.291,0.289,0.127,0.08912699999999998
Chronos-2 120M (spatiotemporal Gaussian copula),7,XLY,0.144,0.177,0.165,0.226,0.288,0.0941834
Chronos-2 120M (spatiotemporal Gaussian copula),7,XOM,0.233,0.138,0.109,0.154,0.366,0.1648572
Chronos-2 120M (spatiotemporal Gaussian copula),8,ABBV,0.129,0.167,0.186,0.206,0.312,0.16198500000000005
Chronos-2 120M (spatiotemporal Gaussian copula),8,ACN,0.165,0.207,0.206,0.233,0.189,0.0758828
Chronos-2 120M (spatiotemporal Gaussian copula),8,AEP,0.184,0.201,0.183,0.197,0.235,0.25718599999999997
Chronos-2 120M (spatiotemporal Gaussian copula),8,AIZ,0.232,0.196,0.198,0.201,0.173,0.13176260000000004
Chronos-2 120M (spatiotemporal Gaussian copula),8,ALLE,0.335,0.211,0.167,0.163,0.124,0.3372172000000001
Chronos-2 120M (spatiotemporal Gaussian copula),8,AMAT,0.319,0.114,0.1,0.117,0.35,0.2251678
Chronos-2 120M (spatiotemporal Gaussian copula),8,AMP,0.124,0.159,0.16,0.211,0.346,0.08228600000000001
Chronos-2 120M (spatiotemporal Gaussian copula),8,AMZN,0.388,0.119,0.107,0.115,0.271,0.168006
